,Date,Open,High,Low,Close,Volume
0,2011-05-20,1499.0,1512.699951,1488.699951,1508.800049,93.0
1,2011-05-21,1499.0,1512.699951,1488.699951,1508.800049,93.0
2,2011-05-22,1499.0,1512.699951,1488.699951,1508.800049,93.0
3,2011-05-23,1510.5,1512.300049,1507.0,1515.300049,42.0
4,2011-05-24,1527.099976,1527.099976,1521.900024,1523.199951,4.0
5,2011-05-25,1526.400024,1527.5,1526.099976,1526.599976,10.0
6,2011-05-26,1521.199951,1521.199951,1519.5,1522.800049,186986.0
7,2011-05-27,1519.400024,1538.5,1518.400024,1536.300049,76719.0
8,2011-05-28,1519.400024,1538.5,1518.400024,1536.300049,76719.0
9,2011-05-29,1519.400024,1538.5,1518.400024,1536.300049,76719.0
10,2011-05-30,1519.400024,1538.5,1518.400024,1536.300049,76719.0
11,2011-05-31,1536.699951,1541.099976,1532.400024,1535.900024,6152.0
12,2011-06-01,1535.699951,1550.599976,1529.699951,1542.400024,2845.0
13,2011-06-02,1541.300049,1544.5,1520.0,1532.0,1651.0
14,2011-06-03,1534.699951,1546.300049,1525.0,1541.699951,1745.0
15,2011-06-04,1534.699951,1546.300049,1525.0,1541.699951,1745.0
16,2011-06-05,1534.699951,1546.300049,1525.0,1541.699951,1745.0
17,2011-06-06,1542.900024,1553.900024,1542.0,1546.5,691.0
18,2011-06-07,1545.0,1549.900024,1537.199951,1543.300049,2530.0
19,2011-06-08,1544.199951,1544.199951,1531.300049,1538.099976,489.0
20,2011-06-09,1536.099976,1548.800049,1534.400024,1542.099976,288.0
21,2011-06-10,1543.699951,1543.900024,1526.400024,1528.599976,632.0
22,2011-06-11,1543.699951,1543.900024,1526.400024,1528.599976,632.0
23,2011-06-12,1543.699951,1543.900024,1526.400024,1528.599976,632.0
24,2011-06-13,1528.099976,1533.0,1511.300049,1515.0,851.0
25,2011-06-14,1517.199951,1526.199951,1513.099976,1523.800049,306.0
26,2011-06-15,1525.0,1533.400024,1515.0,1525.599976,648.0
27,2011-06-16,1526.0,1531.199951,1522.0,1529.300049,164.0
28,2011-06-17,1523.0,1541.599976,1523.0,1538.599976,72.0
29,2011-06-18,1523.0,1541.599976,1523.0,1538.599976,72.0
30,2011-06-19,1523.0,1541.599976,1523.0,1538.599976,72.0
31,2011-06-20,1536.0,1545.699951,1535.199951,1541.5,99.0
32,2011-06-21,1540.099976,1547.5,1540.0,1546.0,125.0
33,2011-06-22,1547.199951,1558.5,1544.400024,1552.900024,222.0
34,2011-06-23,1547.199951,1547.199951,1514.699951,1520.099976,300.0
35,2011-06-24,1524.699951,1525.0,1498.5,1500.5,257.0
36,2011-06-25,1524.699951,1525.0,1498.5,1500.5,257.0
37,2011-06-26,1524.699951,1525.0,1498.5,1500.5,257.0
38,2011-06-27,1503.5,1503.5,1490.699951,1496.0,140.0
39,2011-06-28,1499.900024,1505.0,1496.099976,1499.699951,508.0
40,2011-06-29,1504.099976,1512.199951,1504.099976,1509.900024,395.0
41,2011-06-30,1511.5,1514.0,1498.800049,1502.300049,69.0
42,2011-07-01,1502.199951,1502.199951,1480.0,1482.300049,66.0
